,winsize,threshold,k,RMSE,r2_score
64,30,1.05,1.0999999999999999,12.44434906101025,-3.3120982982810476
54,30,1.03,1.0999999999999999,12.668833503715154,-3.4690739468587966
39,30,1.0,1.0999999999999999,12.809204228195078,-3.5686573127792087
63,30,1.05,0.9999999999999999,12.835559182806211,-3.5874766902354045
43,30,1.01,0.9999999999999999,12.857991726550846,-3.603525651755615
40,30,1.01,0.7,13.045686490986135,-3.738906701905461
36,30,1.0,0.7999999999999999,13.048877840989496,-3.7412255311602003
53,30,1.03,0.9999999999999999,13.08683247118215,-3.768846782869523
47,30,1.02,0.8999999999999999,13.199238345177543,-3.85112009168754
33,20,1.1,0.9999999999999999,13.21681108142037,-3.8640457164086586
50,30,1.03,0.7,13.369312157844934,-3.9769400661008074
41,30,1.01,0.7999999999999999,13.385472041695355,-3.9889788874793384
44,30,1.01,1.0999999999999999,13.48218829084827,-4.061334725539805
45,30,1.02,0.7,13.532513068103192,-4.099189992715342
52,30,1.03,0.8999999999999999,13.538846647264837,-4.1039642251203166
59,30,1.04,1.0999999999999999,13.71580061798571,-4.238254685140259
48,30,1.02,0.9999999999999999,13.79941831468148,-4.302318892432708
51,30,1.03,0.7999999999999999,13.856658899478282,-4.346398622326638
18,20,1.03,0.9999999999999999,13.892538485633162,-4.374121744239796
31,20,1.1,0.7999999999999999,13.979163473036941,-4.441349862796275
49,30,1.02,1.0999999999999999,14.01430711435399,-4.468743379304794
9,20,1.01,1.0999999999999999,14.035099790108422,-4.484983092211847
24,20,1.04,1.0999999999999999,14.061987378446846,-4.5060188146908775
46,30,1.02,0.7999999999999999,14.116124396625017,-4.548495488611248
2,20,1.0,0.8999999999999999,14.184089888773714,-4.60205325708593
37,30,1.0,0.8999999999999999,14.210321948865932,-4.622793295630801
12,20,1.02,0.8999999999999999,14.215803552204333,-4.62713209490065
8,20,1.01,0.9999999999999999,14.245636764136178,-4.650775018072441
4,20,1.0,1.0999999999999999,14.311678997658829,-4.703290024095845
3,20,1.0,0.9999999999999999,14.315550424271345,-4.706376014939358
32,20,1.1,0.8999999999999999,14.366168941933244,-4.746801839655671
6,20,1.01,0.7999999999999999,14.37548291798156,-4.754255869459243
7,20,1.01,0.8999999999999999,14.38675614602636,-4.763284362499366
55,30,1.04,0.7,14.420355121894238,-4.790235061487135
13,20,1.02,0.9999999999999999,14.42363660024651,-4.792870598922518
17,20,1.03,0.8999999999999999,14.42793143345082,-4.796320923937948
34,20,1.1,1.0999999999999999,14.43173812032951,-4.799379947292702
1,20,1.0,0.7999999999999999,14.435797358181839,-4.802642807680241
19,20,1.03,1.0999999999999999,14.47109498234794,-4.831054111420152
10,20,1.02,0.7,14.492758500197638,-4.848525587851797
21,20,1.04,0.7999999999999999,14.509175519413928,-4.861783207346216
30,20,1.1,0.7,14.525138288885545,-4.874688388098633
16,20,1.03,0.7999999999999999,14.543038270388466,-4.889176595525808
42,30,1.01,0.8999999999999999,14.56800762898765,-4.9094165475656855
14,20,1.02,1.0999999999999999,14.612930332941193,-4.945917938984392
58,30,1.04,0.9999999999999999,14.613805778521556,-4.94663038794366
5,20,1.01,0.7,14.61638677931544,-4.948731088246161
57,30,1.04,0.8999999999999999,14.63825494133709,-4.966544674055497
23,20,1.04,0.9999999999999999,14.639461643809543,-4.967528417131171
11,20,1.02,0.7999999999999999,14.657566381661331,-4.9822977232079575
25,20,1.05,0.7,14.74555186162986,-5.054333572601145
35,30,1.0,0.7,14.754451195737012,-5.061643681660998
22,20,1.04,0.8999999999999999,14.760537815580813,-5.066645905100923
15,20,1.03,0.7,14.80353378117484,-5.102040442093502
28,20,1.05,0.9999999999999999,14.810941360312249,-5.108148802077446
61,30,1.05,0.7999999999999999,14.817893704776623,-5.113884551124707
38,30,1.0,0.9999999999999999,14.846232446344201,-5.1372921250478
29,20,1.05,1.0999999999999999,14.880357088068664,-5.165538158579041
0,20,1.0,0.7,14.884671197542003,-5.169113699432053
27,20,1.05,0.8999999999999999,14.940324927729955,-5.215332530522065
20,20,1.04,0.7,14.983632743061069,-5.251417769972111
60,30,1.05,0.7,15.006568782178515,-5.270571002810137
56,30,1.04,0.7999999999999999,15.10595229885906,-5.353901843012957
62,30,1.05,0.8999999999999999,15.176543357807134,-5.413424957065152
26,20,1.05,0.7999999999999999,15.265806134057906,-5.4890895746047885
140,60,1.0,0.7,15.855462266338085,-6.000065444939786
105,50,1.0,0.7,16.56404141983341,-6.639710455484224
107,50,1.0,0.8999999999999999,17.058006369005884,-7.102160236264487
70,40,1.0,0.7,17.245295917182386,-7.281053404618177
75,40,1.01,0.7,17.667140847881353,-7.691141611440814
76,40,1.01,0.7999999999999999,17.82949142559451,-7.851608441489182
71,40,1.0,0.7999999999999999,18.193420263697696,-8.216647695141802
74,40,1.0,1.0999999999999999,18.487106295251404,-8.51660755073113
80,40,1.02,0.7,18.61070542072895,-8.644283170330887
106,50,1.0,0.7999999999999999,18.73149902298594,-8.769882744982084
142,60,1.0,0.8999999999999999,18.83413130657533,-8.877236924261766
72,40,1.0,0.8999999999999999,18.955812221542256,-9.005276136394212
